Hyalophane, 6 – 6+1⁄2, 2.81
Hypersthene, 5.5–6, 3.4–3.9
Inyoite, 2, 1.875
Ianbruceite, 1, Calculated, 3.197
Idrialite, 1.5, 1.236
Ikaite, 3, 1.83
Illite, 1 - 2, 2.6 - 2.9
Ilmenite, 5–6, 4.70–4.79
Ilsemannite, 5.5 - 6, None
Ilvaite, 5.5-6, 3.8-4.1
Imogolite, 2–3, 2.7
Inderite, 2.5 - 3, None
Indite, 5, 4.67
Indium, 1.2, None
Inesite, 5.5 - 6, 3.0
Inyoite, 2, 1.875
Iodargyrite, 1+1⁄2 - 2, 5.69
Iranite, 3, 5.8
Iridium, 6.5, None
Telluric iron, 4, 7.3–7.87
Ixiolite, 6 - 6+1⁄2, 7.03 - 7.23
Vesuvianite, 6–7, 3.32–3.43
Cordierite, 7 - 7.5, 2.57 - 2.66
Jacobsite, 5.5 - 6.5, 4.76
Jadarite, 4 - 5, 2.45
Jadeite, 6.5 - 7, 3.24 to 3.43
Jalpaite, 2 - 2.5, 6.82–6.85
Jamesonite, 2+1⁄2, 5.63
Janggunite, 2 - 3, 3.59
Jarosewichite, 4, 3.66
Jarosite, 2.5 - 3.5, 2.9 to 3.3
Jennite, 3.5, None
Jeremejevite, 6.5 - 7.5, 3.28 - 3.31
Jerrygibbsite, 5.5, 4.00
Jimthompsonite, 2-2.5, 3.02 (calculated)
Johannite, 2 - 2.5, 3.32, 3.27 (calc.)
Johannsenite, 6, None
Jôkokuite, 2.5, 2.03
Jolliffeite, 6-6.5, None
Jonesite, 3–4, 3.21 g/cm3
Jordanite, 3, None
Julgoldite, 4.5, 3.6
Junitoite, 4.5, None
Jurbanite, 2.5, 1.786
Jade, 6–7, 2.9–3.38
Nephrite, 6 – 6.5[1], 2.95 (+.15, -.05)[1]
Jasper, 6.5-7, 2.5-2.9
Kainosite-(Y), 5–6, None
Kröhnkite, 2.5 – 3.0, 2.92
Kaersutite, 5 - 6, 3.20 - 3.28
Kainite, 2.5-3, 2.15
Kainosite-(Y), 5–6, None
Kalinite, 2 to 2.5, 1.75 (observed) 2.0 (calculated)
Kalsilite, 6, 2.59 - 2.62
Kamacite, 4, 7.9
Kamiokite, 4.5, None
Kampfite, 3, 3.45
Kaňkite, 2–3, 2.60 – 2.70
Kanoite, 6, 3.66
Kaolinite, 2–2.5, 2.16–2.68
